,trade Id,Time,Stock symbol,Company,Price,Quantity,Total Amount ($),Stock/Option,Strike Price,Option type,Action,Option Expire Date,ticker,long/short,Date
938,90187956.0,09/29/2020 10:25:46 EDT,SLV,iShares Silver Trust,0.94,2,188.00,OPTION,21.50,call,BUY,2020-09-30,913244503.0,long,2020-09-29
939,89845635.0,09/28/2020 14:49:06 EDT,NIO,NIO Inc.,0.58,5,290.00,OPTION,19.00,call,BUY,2020-10-02,950076017.0,long,2020-09-28
940,89820663.0,09/28/2020 14:08:31 EDT,NIO,NIO Inc.,1.08,2,216.00,OPTION,18.50,put,SELL,2020-10-09,950076017.0,long,2020-09-28
941,89803403.0,09/28/2020 13:42:15 EDT,MRNA,Moderna,0.89,2,178.00,OPTION,73.00,call,BUY,2020-10-02,950102542.0,long,2020-09-28
942,89775757.0,09/28/2020 13:02:48 EDT,MRNA,Moderna,0.47,1,47.00,OPTION,65.50,put,BUY,2020-10-02,950102542.0,short,2020-09-28
943,89695507.0,09/28/2020 11:28:24 EDT,AAL,American Airlines,0.15,2,30.00,OPTION,12.00,put,BUY,2020-10-02,913255803.0,short,2020-09-28
944,89695217.0,09/28/2020 11:28:07 EDT,CCL,Carnival,0.35,1,35.00,OPTION,14.50,put,BUY,2020-10-02,913255078.0,short,2020-09-28
945,89694690.0,09/28/2020 11:30:48 EDT,MRNA,Moderna,1.95,1,195.00,OPTION,70.00,call,SELL,2020-10-02,950102542.0,short,2020-09-28
946,89685688.0,09/28/2020 11:19:41 EDT,SLV,iShares Silver Trust,0.45,2,90.00,OPTION,21.50,call,SELL,2020-09-30,913244503.0,short,2020-09-28
947,89685040.0,09/28/2020 11:19:06 EDT,NIO,NIO Inc.,0.23,4,92.00,OPTION,20.00,call,SELL,2020-10-02,950076017.0,short,2020-09-28
948,89684889.0,09/28/2020 11:18:59 EDT,NIO,NIO Inc.,0.46,5,230.00,OPTION,19.00,call,SELL,2020-10-02,950076017.0,short,2020-09-28
949,89284663.0,09/25/2020 15:29:47 EDT,AAL,American Airlines,0.44,2,88.00,OPTION,12.00,put,SELL,2020-10-02,913255803.0,long,2020-09-25
950,89131447.0,09/25/2020 11:48:56 EDT,F,Ford Motor,1.75,2,350.00,OPTION,5.00,call,BUY,2021-01-15,913255275.0,long,2020-09-25
951,89090945.0,09/25/2020 11:06:50 EDT,MRNA,Moderna,1.18,2,236.00,OPTION,73.00,call,SELL,2020-10-02,950102542.0,short,2020-09-25
